2024-05-29 10:23:54,Entertainment,Movie Tickets,-22.00,Debit Card
2024-05-25 17:55:12,Refund,Online Retailer,27.89,Checking
2024-06-02 01:14:23,Salary,Your Employer,2500.00,Checking
2024-05-22 14:37:41,-Transportation,-Gas Station 123,-38.92,Credit Card
2024-05-27 08:52:07,Freelance Work,Client A,500.00,Checking
2024-05-20 20:09:35,Food,-Restaurant XYZ,-15.75,Credit Card
2024-05-24 11:21:58,Allowance,From Parents,50.00,Checking
2024-06-03 04:47:14,-Bills,-Electric Bill,-87.43,Checking
2024-05-31 15:58:41,Side Hustle,Income from Project,120.00,Checking
2024-05-21 05:34:09,-Bills,-Internet Provider,-59.99,Checking
2024-05-28 22:05:32,Interest,Savings Account,1.23,Savings
2024-05-23 08:11:55,-Entertainment,-Sporting Event,-45.00,Cash
2024-06-01 12:32:06,Gift,Grandma's Gift,100.00,Savings
2024-05-30 03:00:39,Cash Back Reward,Credit Card Company,10.00,Checking
2024-05-19 19:27:11,-Shopping,-Groceries,-45.67,Debit Card
2024-06-04 09:23:54,Entertainment,Concert Tickets,-80.00,Credit Card
2024-06-03 14:55:12,Shopping,Clothing Store,-50.00,Debit Card
2024-06-02 20:14:23,Salary,Your Employer,2500.00,Checking
2024-06-01 11:37:41,Transportation,Public Transit,-5.00,Cash
2024-05-31 18:52:07,Freelance Work,Client B,300.00,Checking
2024-05-30 22:09:35,Food,Restaurant ABC,-25.00,Credit Card
2024-05-29 09:21:58,Allowance,From Parents,50.00,Checking
2024-05-28 04:47:14,Bills,Water Bill,-40.00,Checking
2024-05-27 15:58:41,Side Hustle,Income from Project,150.00,Checking
2024-05-26 08:34:09,Bills,Phone Bill,-70.00,Checking
2024-05-25 22:05:32,Interest,Savings Account,2.50,Savings
2024-05-24 11:11:55,Entertainment,Concert Tickets,-100.00,Credit Card
2024-05-23 12:32:06,Gift,Birthday Present,-50.00,Debit Card
2024-05-22 03:00:39,Cash Back Reward,Credit Card Company,5.00,Checking
2024-05-21 19:27:11,Shopping,Electronics Store,-200.00,Credit Card
2024-05-20 09:47:14,Bills,Internet Bill,-60.00,Checking
2024-05-19 15:58:41,Side Hustle,Income from Project,100.00,Checking
2024-05-18 08:34:09,Bills,Phone Bill,-70.00,Checking
2024-05-17 22:05:32,Interest,Savings Account,2.50,Savings
2024-05-16 11:11:55,Entertainment,Concert Tickets,-100.00,Credit Card
2024-05-15 12:32:06,Gift,Birthday Present,-50.00,Debit Card
2024-05-14 03:00:39,Cash Back Reward,Credit Card Company,5.00,Checking
2024-05-13 19:27:11,Shopping,Electronics Store,-200.00,Credit Card
2024-05-12 09:47:14,Bills,Internet Bill,-60.00,Checking
2024-05-11 15:58:41,Side Hustle,Income from Project,100.00,Checking
2024-05-10 08:34:09,Bills,Phone Bill,-70.00,Checking
2024-05-09 22:05:32,Interest,Savings Account,2.50,Savings
2024-05-08 11:11:55,Entertainment,Concert Tickets,-100.00,Credit Card
2024-05-07 12:32:06,Gift,Birthday Present,-50.00,Debit Card
2024-05-06 03:00:39,Cash Back Reward,Credit Card Company,5.00,Checking
2024-05-05 19:27:11,Shopping,Electronics Store,-200.00,Credit Card
2024-05-04 09:47:14,Bills,Internet Bill,-60.00,Checking
2024-05-03 15:58:41,Side Hustle,Income from Project,100.00,Checking
2024-05-02 08:34:09,Bills,Phone Bill,-70.00,Checking
2024-05-01 22:05:32,Interest,Savings Account,2.50,Savings
2024-04-30 11:11:55,Entertainment,Concert Tickets,-100.00,Credit Card
2024-04-29 12:32:06,Gift,Birthday Present,-50.00,Debit Card
2024-04-28 03:00:39,Cash Back Reward,Credit Card Company,5.00,Checking
2024-04-27 19:27:11,Shopping,Electronics Store,-200.00,Credit Card
2024-04-26 09:47:14,Bills,Internet Bill,-60.00,Checking
2024-04-25 15:58:41,Side Hustle,Income from Project,100.00,Checking
2024-04-24 08:34:09,Bills,Phone Bill,-70.00,Checking
2024-04-23 22:05:32,Interest,Savings Account,2.50,Savings
2024-04-22 11:11:55,Entertainment,Concert Tickets,-100.00,Credit Card
2024-04-21 12:32:06,Gift,Birthday Present,-50.00,Debit Card
